LOCATION,ADDRESS,CITY,ZIP,X,Y
"NICHOLS OPERATING  ROSS, OH",,ROSS,,,
"MILEPOST 283W  BUECHEL, KY",,BUECHEL,,,
"9300 GALLUMET AVE  MUNSTER, IN  46321",9300 GALLUMET AVE,MUNSTER,46321,,
LAGRANGE CO  TOPEKA  CORNER OF INDIANA AND ZOOK STREET    LAGRANGE COUNTY,INDIANA AND ZOOK STREET,TOPEKA,,,
"1800 CHURCHMAN AVE  INDIANAPOLIS, IN  46203",1800 CHURCHMAN AVE,INDIANAPOLIS,46203,,
"ROUTE 52 RIVER RD  CINCINNATI, OH",52 RIVER RD,CINCINNATI,,,
1208 BEYER AVE  SOUTH BEND IN  ST JOSEPH CO,1208 BEYER AVE,SOUTH BEND,,,
"498 PARK 800 DRIVE  GREENWOOD, IN.  JOHNSON COUNTY",498 PARK 800 DRIVE,GREENWOOD,,,
I70 148.5 MM EAST BOUND  RICHMOND,,RICHMOND,,,
"FORT WAYNE RAIL YARD  FORT WAYNE, IN",,FORT WAYNE,,,
"I-55 MILEMARKER 288  CHICAGO, IL",I-55 MILEMARKER 288,CHICAGO,,,
CHANNOHON FLEET/ILLINOIS RIVER MILE 279  ILLINOIS,,ILLINOIS,,,
4325 SR 26 E   LAFAYETTE   TIPPECANOE,,LAFAYETTE,,,
86TH  AT WILLIAMS CREEK   INDIANAPOLIS   MARION,,INDIANAPOLIS,,,
"3210 WEST 131ST  BLUE ISLAND, IL",3210 WEST 131ST,BLUE ISLAND,,,
ELKHART CO  ELKHART  WOODLAND APTS.  1100 CLARINET BLVD.,1100 CLARINET BLVD.,ELKHART,,,
702 W INDIANA AVE  SOUTH BEND  ST. JOSEPH,702 W INDIANA AVE,SOUTH BEND,,,
"870 WEST ANDERSON BLVD, EAST SIDE PARKING LOT   GREENFIELD   HANCOCK",870 WEST ANDERSON BLVD,GREENFIELD,,,
"SR 637 AND CR 168  MELROSE, OH",SR 637 AND CR 168,MELROSE,,,
"116 W SR 56  FRENCH LICK, IN  ORANGE COUNTY",,FRENCH LICK,,,
180 NORTH MERIDIAN ROAD   MITCHELL  LAWRENCE,180 NORTH MERIDIAN ROAD,MITCHELL,,,
3531 W 48TH ST,3531 W 48TH ST,,,,
1/4 MILE WEST OF 2506 WEST 800 NORTH   LAKE VILLAGE   NEWTON,2506 WEST 800 NORTH,LAKE VILLAGE,,,
I-69 SB AND MM269,I-69 SB AND MM269,,,,
"300 S. 1/2 MILE WEST OF MERIDIAN RD  BLUFFTON, IN  WELLS COUNTY",,BLUFFTON,,,
"I-74 WB MM 116  SHELBYVILLE, IN  SHELBY COUNTY",,SHELBYVILLE,,,
"34 N RITTER AVE, DETACHED GARAGE, SECOND FLOOR",34 N RITTER AVE,,,,
LAKE CO  WHITING  2815 INDIANAPOLIS,,WHITING,,,
"6625 SOUTH BOUNDARY DR  PORTAGE, IN  46368",6625 SOUTH BOUNDARY DR,PORTAGE,46368,,
"I-65 AT 141 MM, NB ALONG NB LANE  LEBANON",,LEBANON,,,
"150 CROSSROADS DR  WHITELAND, IN  46184",150 CROSSROADS DR,WHITELAND,46184,,
"3463 AND 3545 E US 50  DILLSBORO, IN  DEARBORN COUNTY",3463 AND 3545 E US 50,DILLSBORO,,,
ROLLS ROYCE   2001 S TIBBS AVE   INDIANAPOLIS,2001 S TIBBS AVE,INDIANAPOLIS,,,
4343 KENNEDY AVE   EAST CHICAGO,4343 KENNEDY AVE,EAST CHICAGO,,,
"SR 59 AND SR 42  BRAZIL, IN  CLAY COUNTY",SR 59 AND SR 42,BRAZIL,,,
"WHERE THE LEVY IS SHUTDOWN  DILLSBORO, IN",,DILLSBORO,,,
"5203 E US 50  ELROD, IN  RIPLEY COUNTY",5203 E US 50,ELROD,,,
"INTERSECTION OF HIGHWAY 136 AND NORFIELD DR,  RR MP -OSC18.2   BROWNSBURG",HIGHWAY 136 AND NORFIELD DR,BROWNSBURG,,,
0.5 MILE SOUTH OF HILLSBORO ON SOUTH BOUND LAND OF ST RD 341.  HILLSBORO,,HILLSBORO,,,
"CHICAGO RIVER/OGDEN SLIP  CHICAGO, IL",,CHICAGO,,,
SR 57 ELNORA   ELNORA,,ELNORA,,,
6407 SCHELLE LN   ANDERSON   MADISON,6407 SCHELLE LN,ANDERSON,,,
"CINTREVILLE, MI",,CINTREVILLE,,,
CR 550 W AND 400 N   PENNVILLE   JAY,CR 550 W AND 400 N,PENNVILLE,,,
"7121 W 171ST ST  TINLEY PARK, IL",7121 W 171ST ST,TINLEY PARK,,,
"RIVER MILE 827.8  MT VERNON, IN","RIVER MILE 827.8  MT VERNON, IN",MT VERNON,,,
"WHOLESALE FIREWORKS OUTLET  5136 US 52  CEDAR GROVE, IN  FRANKLIN CO",5136 US 52,CEDAR GROVE,,,
ST JOSEPH CO  MISHAWAKA  2144 E JEFFERSON  AREA AROUND FRONT DOOR,2144 E JEFFERSON,MISHAWAKA,,,
"1300 E 136TH ST  FISHERS, IN  46037  HAMILTON COUNTY",1300 E 136TH ST,FISHERS,46037,,
"I-65 NORTHBOUND AT MILE MARKER 228  DEMOTTE, IN",,DEMOTTE,,,
EVERS DITCH  INTERSECTION OF 5TH STREET SW AND ALMOND ST SW  DEMOTTE,5TH STREET SW AND ALMOND ST SW,DEMOTTE,,,
"8313 INDIANAPOLIS BLVD,   IN FRONT OF WORLD GYM.  HIGHLAND, IN",8313 INDIANAPOLIS BLVD,HIGHLAND,,,
"RR AT 23RD ST  MUNCIE, IN  DELAWARECOUNTY",23RD ST,MUNCIE,,,
"12999 ROCKY POINTE RD   MCCORDSVILLE, IN  HAMILTON COUNTY",12999 ROCKY POINTE RD,MCCORDSVILLE,,,
"FELDMAN FARM  380 14B ROAD, ETNA GREEN, IN",380 14B ROAD,ETNA GREEN,,,
"I-94 EB MILE MARKTER 37  MICHIGAN CITY, IN    LA PORTE COUNTY",,MICHIGAN CITY,,,
2974 E SR 352,2974 E SR 352,,,,
641 W CR 50 S   HEBRON,641 W CR 50 S,HEBRON,,,
"220 COMMERCE DRIVE  SEYMOUR, IN",220 COMMERCE DRIVE,SEYMOUR,,,
"3RD STREET  WINSLOW, IN  PIKE COUNTY",,WINSLOW,,,
"I80 WB MM 128.6  HOWE, IN",,HOWE,,,
"ST HWY 231 AND IOWA RD  CROWN POINT, IN  LAKE COUNTY",HWY 231 AND IOWA RD,CROWN POINT,,,
"OMNI-SOURCE   INDIANAPOLIS, IN  MARION COUNTY",,INDIANAPOLIS,,,
CAT 500  BP WHITING REFINERY  2815 INDIANAPOLIS BLVD.  WHITING,2815 INDIANAPOLIS BLVD.,WHITING,,,
"I-65 SB AND MM 147.5  THORNTOWN, IN  BOONE CO",I-65 SB AND MM 147.5,THORNTOWN,,,
"I-465 AND FALL CREEK ROAD  INDIANAPOLIS, IN  MARION COUNTY",I-465 AND FALL CREEK ROAD,INDIANAPOLIS,,,
"HUNTER'S GREEN  6400 LAFAYETTE ROAD  INDIANAPOLIS, IN  MARION CO",6400 LAFAYETTE ROAD,INDIANAPOLIS,,,
"1200 REFINERY ROAD  MT VERNON, IN  POSEY COUNTY",1200 REFINERY ROAD,MT VERNON,,,
"1701 E MARKET ST  JEFFERSONVILLE, IN  47130  CLARK COUNTY",1701 E MARKET ST,JEFFERSONVILLE,47130,,
ST JOSEPH CO  NEW CARLISLE  I 90/80 MM 67.5 WB  NORTH DRAINAGE,,NEW CARLISLE,,,
ELKHART CO  MIDDLEBURY  I 90/80 MM 107  OFF RAMP,,MIDDLEBURY,,,
